flat,label,qid,import_id
Start Date [startDate],Start Date,StartDate,startDate
End Date [endDate],End Date,EndDate,endDate
Response Type [status],Response Type,Status,status
Progress [progress],Progress,Progress,progress
Duration (in seconds) [duration],Duration (in seconds),Duration (in seconds),duration
Finished [finished],Finished,Finished,finished
Recorded Date [recordedDate],Recorded Date,RecordedDate,recordedDate
Response ID [_recordId],Response ID,ResponseId,_recordId
Distribution Channel [distributionChannel],Distribution Channel,DistributionChannel,distributionChannel
User Language [userLanguage],User Language,UserLanguage,userLanguage
For ED admits to the ICU how often do you conduct a code-status exploration rath [QID1_1],"For ED admits to the ICU, how often do you conduct a code-status exploration rather than only verification of previously decided goals of care? - 1.",Q1_1,QID1_1
For transfers to the ICU coming from another hospital how often do you conduct a [QID25_1],"For transfers to the ICU coming from another hospital, how often do you conduct a code-status exploration rather than only verification of previously decided goals of care? - 2.",Q2_1,QID25_1
For floor transfers to the ICU how often do you conduct a code-status exploratio [QID27_1],"For floor transfers to the ICU, how often do you conduct a code-status exploration rather than only verification of previously decided goals of care? - 3.",Q3_1,QID27_1
How often do you think code-status explorations should be part of patients ICU a [QID2_1],How often do you think code-status explorations should be part of patients’ ICU admissions rather than verification of previously documented/expressed code-status? - 4.,Q4_1,QID2_1
How often do time constraints prevent you from spending as much time on code-sta [QID3_1],How often do time constraints prevent you from spending as much time on code-status explorations as you feel you should during ICU admissions? - 5.,Q5_1,QID3_1
How confident do you feel conducting code status explorations on initial ICU adm [QID4_1],How confident do you feel conducting code status explorations on initial ICU admission with your current level of training? - 6.,Q6_1,QID4_1
If you conduct code-status explorations for patients on ICU admission who alread [QID8],"If you conduct code-status explorations for patients on ICU admission who already have a documented code-status from that hospitalization (e.g. floor transfers), what are the reasons why? (select all that apply)",Q7,QID8
How often do you perceive that patients or their surrogates dont adequately unde [QID23_1],How often do you perceive that patients or their surrogates don't adequately understand the questions asked or clinical circumstances well enough to make informed choices during code-status explorations on ICU admission? - 8.,Q8_1,QID23_1
How often do you conduct code-status explorations with patients on ICU admission [QID9_1],How often do you conduct code-status explorations with patients on ICU admission for whom you do not feel it is clinically indicated because you feel it is expected/required of you? - 9.,Q9_1,QID9_1
For ED admits to the ICU how often do you document a temporary or provisional co [QID11_1],"For ED admits to the ICU, how often do you document a “temporary” or “provisional” code-status with a plan to revisit the discussion later? - 10.",Q10_1,QID11_1
I think more training on when to conduct a code status exploration vs verificati [QID12_1],I think more training on when to conduct a code status exploration vs verification on ICU admission would lead to improvements in ICU care. - 11.,Q11_1,QID12_1
Aside from CPR and intubation what other topics do you think are most important [QID28_1],"Aside from CPR and intubation, what other topics do you think are most important to discuss during code-status explorations on ICU admission? Please prioritize from 1 (highest priority) to 4 (lowest priority). You can use a number more than once. - Identifying a surrogate decision-maker",Q12_1,QID28_1
Aside from CPR and intubation what other topics do you think are most important [QID28_2],"Aside from CPR and intubation, what other topics do you think are most important to discuss during code-status explorations on ICU admission? Please prioritize from 1 (highest priority) to 4 (lowest priority). You can use a number more than once. - Whether the patient would want tube feeding",Q12_2,QID28_2
Aside from CPR and intubation what other topics do you think are most important [QID28_3],"Aside from CPR and intubation, what other topics do you think are most important to discuss during code-status explorations on ICU admission? Please prioritize from 1 (highest priority) to 4 (lowest priority). You can use a number more than once. - Acceptability of long-term ventilation/tracheostomy",Q12_3,QID28_3
Aside from CPR and intubation what other topics do you think are most important [QID28_4],"Aside from CPR and intubation, what other topics do you think are most important to discuss during code-status explorations on ICU admission? Please prioritize from 1 (highest priority) to 4 (lowest priority). You can use a number more than once. - Identifying whether the patient has a prior Advanced Directive or POLST",Q12_4,QID28_4
Aside from CPR and intubation what other topics do you think are most important [QID28_5],"Aside from CPR and intubation, what other topics do you think are most important to discuss during code-status explorations on ICU admission? Please prioritize from 1 (highest priority) to 4 (lowest priority). You can use a number more than once. - Acceptability of long-term dialysis (excluding short trials of CRRT/iHD for rapidly reversible conditions)",Q12_5,QID28_5
My prior training on code-status explorations has included (please select all th [QID14],My prior training on code-status explorations has included: (please select all that apply),Q13,QID14
If we were to design an educational intervention surrounding code-status explora [QID17],"If we were to design an educational intervention surrounding code-status explorations, which of the following would be helpful? (select as many as you want)",Q14,QID17
I am a [QID29],I am a:,Q15,QID29
In your own words what are the biggest challenges you face in exploring code sta [QID18_TEXT],"In your own words, what are the biggest challenges you face in exploring code status with patients admitted to the ICU?",Q16,QID18_TEXT
In your own words what other skills do you feel would be important for you to le [QID19_TEXT],"In your own words, what other skills do you feel would be important for you to learn to have code status explorations?",Q17,QID19_TEXT
