variable_name,readable_name,definition,description,type,units,allowed_values,value_labels,missing_values,source_or_origin,derivation_or_transformation,validation_rules,notes,review_status
StartDate,Start date,Qualtrics survey start timestamp,Restricted response metadata from the source export,datetime,,ISO 8601 datetime,,blank,Qualtrics export,none,must parse as date/time,Do not publish respondent-level timestamps,final
EndDate,End date,Qualtrics survey end timestamp,Restricted response metadata from the source export,datetime,,ISO 8601 datetime,,blank,Qualtrics export,none,must parse as date/time,Do not publish respondent-level timestamps,final
Status,Response type,Qualtrics response status,Survey preview or completed response status,string,,Qualtrics status values,,blank,Qualtrics export,none,string,Restricted source metadata,final
Progress,Progress,Percent completion in Qualtrics,Completion progress for the survey response,numeric,percent,0-100,,blank,Qualtrics export,none,numeric 0-100,Restricted source metadata,final
Duration_seconds,Duration in seconds,Survey completion duration,Elapsed response time in seconds,numeric,seconds,nonnegative integer,,blank,Qualtrics export,none,integer >= 0,Restricted source metadata,final
Finished,Finished,Qualtrics completion flag,Whether Qualtrics marked the response as finished,boolean,,True | False,True = finished | False = not finished,blank,Qualtrics export,none,must be boolean-like,Restricted source metadata,final
RecordedDate,Recorded date,Qualtrics recorded timestamp,Restricted response metadata from the source export,datetime,,ISO 8601 datetime,,blank,Qualtrics export,none,must parse as date/time,Do not publish respondent-level timestamps,final
ResponseId,Response ID,Qualtrics response identifier,Restricted row-level response identifier,string,,Qualtrics response ID,,blank,Qualtrics export,none,string,Do not publish,final
DistributionChannel,Distribution channel,Qualtrics distribution channel,Mode by which the survey was distributed,string,,Qualtrics channel values,,blank,Qualtrics export,none,string,Restricted source metadata,final
UserLanguage,User language,Qualtrics language field,Respondent interface language,string,,Qualtrics language values,,blank,Qualtrics export,none,string,Restricted source metadata,final
Q1_1,ED admission exploration frequency,Frequency of conducting code-status exploration rather than only verification for ED ICU admissions,Single-answer Likert survey item,ordinal categorical,,Never | Rarely | Sometimes | Often | Always,ordered low to high,blank,Qualtrics export,coerced to ordered categorical,must map to frequency Likert labels,,final
Q2_1,Outside-hospital transfer exploration frequency,Frequency of conducting code-status exploration for transfers from another hospital,Single-answer Likert survey item,ordinal categorical,,Never | Rarely | Sometimes | Often | Always,ordered low to high,blank,Qualtrics export,coerced to ordered categorical,must map to frequency Likert labels,,final
Q3_1,Floor transfer exploration frequency,Frequency of conducting code-status exploration for floor transfers to ICU,Single-answer Likert survey item,ordinal categorical,,Never | Rarely | Sometimes | Often | Always,ordered low to high,blank,Qualtrics export,coerced to ordered categorical,must map to frequency Likert labels,,final
Q4_1,Ideal exploration frequency,How often respondents think code-status explorations should be part of ICU admissions,Single-answer Likert survey item,ordinal categorical,,Never | Rarely | Sometimes | Often | Always,ordered low to high,blank,Qualtrics export,coerced to ordered categorical,must map to frequency Likert labels,,final
Q5_1,Time constraint frequency,How often time constraints prevent desired time spent on code-status explorations,Single-answer Likert survey item,ordinal categorical,,Never | Rarely | Sometimes | Often | Always,ordered low to high,blank,Qualtrics export,coerced to ordered categorical,must map to frequency Likert labels,,final
Q6_1,Exploration confidence,Self-rated confidence conducting code-status explorations at current training level,Single-answer confidence item,ordinal categorical,,None | Slightly confident | Somewhat confident | Very confident | Extremely confident,ordered low to high,blank,Qualtrics export,coerced to ordered categorical,must map to confidence labels,,final
Q7,Reasons for exploring with existing code status,Reasons respondents conduct exploration when a code status is already documented,Multi-select survey item,string list,,semicolon or comma separated options,,blank,Qualtrics export,expanded into selected/not selected indicators,raw text choices must not contain respondent free text,Option definitions should be checked against final instrument,needs_review
Q8_1,Patient or surrogate understanding barrier,How often patients or surrogates are perceived not to understand questions or clinical circumstances adequately,Single-answer Likert survey item,ordinal categorical,,Never | Rarely | Sometimes | Often | Always,ordered low to high,blank,Qualtrics export,coerced to ordered categorical,must map to frequency Likert labels,,final
Q9_1,Expected rather than indicated exploration,How often respondents conduct explorations because they feel expected or required to do so rather than clinically indicated,Single-answer Likert survey item,ordinal categorical,,Never | Rarely | Sometimes | Often | Always,ordered low to high,blank,Qualtrics export,coerced to ordered categorical,must map to frequency Likert labels,,final
Q10_1,Temporary code status use,Frequency of documenting temporary or provisional code status with plan to revisit,Single-answer Likert survey item,ordinal categorical,,Never | Rarely | Sometimes | Often | Always,ordered low to high,blank,Qualtrics export,coerced to ordered categorical,must map to frequency Likert labels,,final
Q11_1,Training improvement belief,Agreement that more training on exploration versus verification would improve ICU care,Single-answer agreement item,ordinal categorical,,Strongly disagree | Disagree | Neutral | Agree | Strongly agree,ordered low to high,blank,Qualtrics export,coerced to ordered categorical,must map to agreement labels,,final
Q12_1,Priority surrogate decision-maker,Rank priority for identifying a surrogate decision-maker during exploration,Ranking item,ordinal categorical,,1 | 2 | 3 | 4,1 = highest priority | 4 = lowest priority,blank,Qualtrics export,coerced to ordered rank category,must be 1-4,Multiple topics may share a rank,final
Q12_2,Priority tube feeding,Rank priority for whether the patient would want tube feeding,Ranking item,ordinal categorical,,1 | 2 | 3 | 4,1 = highest priority | 4 = lowest priority,blank,Qualtrics export,coerced to ordered rank category,must be 1-4,Multiple topics may share a rank,final
Q12_3,Priority long-term ventilation or tracheostomy,Rank priority for acceptability of long-term ventilation or tracheostomy,Ranking item,ordinal categorical,,1 | 2 | 3 | 4,1 = highest priority | 4 = lowest priority,blank,Qualtrics export,coerced to ordered rank category,must be 1-4,Multiple topics may share a rank,final
Q12_4,Priority advance directive or POLST,Rank priority for identifying prior advance directive or POLST,Ranking item,ordinal categorical,,1 | 2 | 3 | 4,1 = highest priority | 4 = lowest priority,blank,Qualtrics export,coerced to ordered rank category,must be 1-4,Multiple topics may share a rank,final
Q12_5,Priority long-term dialysis,Rank priority for acceptability of long-term dialysis excluding short reversible trials,Ranking item,ordinal categorical,,1 | 2 | 3 | 4,1 = highest priority | 4 = lowest priority,blank,Qualtrics export,coerced to ordered rank category,must be 1-4,Multiple topics may share a rank,final
Q13,Prior training,Prior training formats for code-status explorations,Multi-select survey item,string list,,semicolon or comma separated options,,blank,Qualtrics export,expanded into selected/not selected indicators,raw text choices must not contain respondent free text,Option definitions should be checked against final instrument,needs_review
Q14,Helpful intervention preferences,Educational intervention formats respondents would find helpful,Multi-select survey item,string list,,semicolon or comma separated options,,blank,Qualtrics export,expanded into selected/not selected indicators,raw text choices must not contain respondent free text,Option definitions should be checked against final instrument,needs_review
Q15,Training level,Respondent postgraduate training category,Training year used for grouping,string,,PGY1 | PGY2 | PGY3/4 | other local labels,PGY1 = intern | PGY2 = second-year | PGY3/4 = senior resident,blank,Qualtrics export,normalized to PGY_cat,must map to known PGY categories,Confirm final survey wording,needs_review
Q16,Open-ended challenges,Free-text response about challenges in code-status exploration,Restricted open-ended respondent text,free text,,,,blank,Qualtrics export,excluded from public outputs,must not be published,Do not commit respondent text,final
Q17,Open-ended desired skills,Free-text response about skills respondents want to learn,Restricted open-ended respondent text,free text,,,,blank,Qualtrics export,excluded from public outputs,must not be published,Do not commit respondent text,final
PGY_cat,PGY category,Normalized postgraduate year grouping used for analysis,Derived categorical grouping variable,categorical,,PGY1 | PGY2 | PGY3/4,ordered PGY categories,missing if unmapped,Derived from Q15,normalize_pgy maps local labels to PGY1 PGY2 or PGY3/4,must be one of expected PGY levels,,final
ordinal_item_columns,Ordered Likert columns,Survey item columns coerced to ordered categorical values,Derived analysis variable family,ordinal categorical,,item-specific Likert labels,,blank,Derived from Q1_1-Q11_1,coerce_likert maps labels to canonical order,must retain item-specific ordering,Family row; see script for generated column set,final
rank_item_columns,Ordered rank columns,Ranked topic columns coerced to ordered values 1 through 4,Derived analysis variable family,ordinal categorical,,1 | 2 | 3 | 4,1 = highest priority | 4 = lowest priority,blank,Derived from Q12_1-Q12_5,coerce_rank extracts rank values,must be 1-4,,final
multiselect_indicator_columns,Multi-select indicator columns,Selected/not selected indicators generated from multi-select survey items,Derived analysis variable family,categorical,,Not selected | Selected,Selected = option present in source response,blank,Derived from Q7 Q13 Q14,one indicator per observed option,must be binary categorical,Generated option names depend on source export labels,needs_review
free_text_cols,Excluded free-text columns,List of source free-text columns excluded from aggregate outputs,Derived privacy audit variable,list,,source column names,,blank,Derived by header and uniqueness heuristics,not included in public tables or figures,must include Q16 and Q17,Check if survey instrument adds more open-text items,needs_review
cmh_results_by_item,CMH trend-test table,Aggregate ordered-by-ordered association results by PGY category,Generated output table,csv,,Item | N | Levels | p | q_BH,,NA when not computable,scripts/analyze_code_status.py,cmh_linear_by_linear plus Benjamini-Hochberg adjustment,one row per ordered item,Aggregate only; no respondent-level rows,final
tableone,Descriptive TableOne output,Aggregate categorical summary by PGY category,Generated output table,xlsx,,item levels by PGY category,,NA for unavailable package,scripts/analyze_code_status.py,tableone package or fallback crosstabs,aggregate counts only,Do not commit real-data output unless privacy reviewed,final
key_figure_single_answer,Single-answer stacked-bar figure,Aggregate distribution of single-answer ordered items,Generated output figure,png,,percent distribution by item,,NA,scripts/analyze_code_status.py,matplotlib stacked bars,aggregate percentages only,Do not commit real-data output unless privacy reviewed,final
heatmap_figures,Item-by-PGY heatmap figures,Aggregate percent and count heatmaps for ordered and derived categorical items,Generated output figure family,png,,PGY category by response level,,NA,scripts/analyze_code_status.py,matplotlib heatmaps,aggregate percentages and counts only,Small cells may still require privacy review before public sharing,needs_review
